experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,6,val,1.7208843803970117,5.589469496330315,2.4827113615420453
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,7,train,1.505908727645874,4.508248539510406,2.172567053406111
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,7,val,1.6678112799520104,5.300553663705036,2.40614306272544
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,8,train,1.4511716524759928,4.268112331125939,2.093598146505757
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,8,val,1.6271446849612168,5.089322334004942,2.3474735678023824
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,9,train,1.408485213915507,4.089755604692791,2.032014633281333
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,9,val,1.5992459362081046,4.949298929807247,2.30722418132926
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,10,train,1.3757099787394205,3.9578857403599628,1.9847299640288232
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_1024,1024,10,val,1.575096838339398,4.831209441757904,2.272384397592135
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_256,256,1,train,3.039491081237793,20.89460687133402,4.385058709727997
