experiment_name,model,seed,lr,input_seq_len,num_kv_pairs,vocab_size,params,best_val_answer_loss,best_val_answer_accuracy,test_loss_ckpt_answer_accuracy,test_acc_ckpt_answer_accuracy,test_loss_ckpt_exact_match,test_acc_ckpt_exact_match
mqar_mamba2_depth6_len128_easy_kv4_vocab256,Mamba2 depth=6,42,,128,8,512,2765984,0.05039835,0.98437500,0.98375000,,0.87450000,
mqar_ms_attention_stride4_len128,MS-attention stride=4,42,,128,16,1024,3292832,6.28815973,0.00187500,0.00181250,,0.00000000,
mqar_ms_attention_stride4_len128_easy_kv12_vocab_512,MS-attention stride=4,42,,128,12,512,3030176,0.00859943,0.99887500,0.99920833,,0.99050000,
mqar_ms_attention_stride4_len128_easy_kv16_vocab_512,MS-attention stride=4,42,,128,16,512,3030176,0.00588597,0.99934375,0.99943750,,0.99100000,
mqar_ms_attention_stride4_len128_easy_kv4_vocab256,MS-attention stride=4,42,,128,8,512,3030176,0.01675417,0.99618750,0.99600000,,0.96850000,
mqar_ms_gated_stride2_len128,MS-gated stride=2,42,,128,16,1024,3160992,6.28598901,0.00200000,0.00143750,,0.00000000,
mqar_ms_gated_stride2_len128_easy_kv12_vocab_512,MS-gated stride=2,42,,128,12,512,2898336,0.01000041,0.99775000,0.99795833,,0.97550000,
mqar_ms_gated_stride2_len128_easy_kv16_vocab_512,MS-gated stride=2,42,,128,16,512,2898336,0.00601718,0.99887500,0.99875000,,0.98000000,
mqar_ms_gated_stride2_len128_easy_kv4_vocab256,MS-gated stride=2,42,,128,8,512,2898336,0.01560654,0.99668750,0.99556250,,0.96500000,
mqar_vocab640_mamba2_depth4_kv16_lr3e4_seed42,Mamba2 depth=4,42,0.0003,128,16,640,1997376,0.01765774,0.99581250,0.99562500,0.99562500,0.93250000,0.93250000
mqar_vocab640_ms_attention_stride4_dropout00_kv16_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,640,3095840,5.78183356,0.00343750,0.00328125,0.00328125,0.00000000,0.00000000
mqar_vocab640_ms_attention_stride4_dropout01_kv16_lr3e4_seed42,MS-attention stride=4,42,0.0003,128,16,640,3095840,5.78214014,0.00353125,0.00337500,0.00396875,0.00000000,0.00000000
mqar_vocab640_ms_gated_stride2_kv16_lr3e4_seed42,MS-gated stride=2,42,0.0003,128,16,640,2964000,0.01490364,0.99637500,0.99671875,0.99671875,0.94950000,0.94950000
